t,pe,ke,te,q1,q2
0.840000,-1.103714,1.103714,-0.000000,0.678122,-2.313711
0.850000,-1.024478,1.024478,-0.000000,0.754199,-2.423986
0.860000,-0.943000,0.943000,-0.000000,0.826949,-2.529730
0.870000,-0.860636,0.860636,-0.000000,0.896123,-2.630932
0.880000,-0.778661,0.778661,-0.000000,0.961498,-2.727587
0.890000,-0.698242,0.698242,-0.000000,1.022876,-2.819689
0.900000,-0.620423,0.620423,-0.000000,1.080084,-2.907233
0.910000,-0.546111,0.546111,-0.000000,1.132977,-2.990211
0.920000,-0.476080,0.476080,-0.000000,1.181435,-3.068610
0.930000,-0.410972,0.410972,-0.000000,1.225360,-3.142417
0.940000,-0.351308,0.351308,-0.000000,1.264676,-3.211614
0.950000,-0.297499,0.297499,-0.000000,1.299325,-3.276182
0.960000,-0.249865,0.249865,-0.000000,1.329263,-3.336099
0.970000,-0.208644,0.208644,-0.000000,1.354461,-3.391347
0.980000,-0.174012,0.174012,-0.000000,1.374897,-3.441906
0.990000,-0.146092,0.146092,-0.000000,1.390558,-3.487759
1.000000,-0.124968,0.124968,-0.000000,1.401438,-3.528895
1.010000,-0.110692,0.110692,-0.000000,1.407532,-3.565307
1.020000,-0.103291,0.103291,-0.000000,1.408843,-3.596991
1.030000,-0.102771,0.102771,-0.000000,1.405372,-3.623955
1.040000,-0.109117,0.109117,-0.000000,1.397126,-3.646212
1.050000,-0.122289,0.122289,-0.000000,1.384112,-3.663784
1.060000,-0.142224,0.142224,-0.000000,1.366342,-3.676705
1.070000,-0.168822,0.168822,-0.000000,1.343831,-3.685018
1.080000,-0.201938,0.201938,-0.000000,1.316600,-3.688781
1.090000,-0.241376,0.241376,-0.000000,1.284677,-3.688064
1.100000,-0.286866,0.286866,-0.000000,1.248099,-3.682949
1.110000,-0.338058,0.338058,-0.000000,1.206914,-3.673537
1.120000,-0.394503,0.394503,-0.000000,1.161182,-3.659942
1.130000,-0.455639,0.455639,-0.000000,1.110981,-3.642294
1.140000,-0.520777,0.520777,-0.000000,1.056407,-3.620743
1.150000,-0.589097,0.589097,-0.000000,0.997577,-3.595453
1.160000,-0.659634,0.659634,-0.000000,0.934632,-3.566605
1.170000,-0.731287,0.731287,-0.000000,0.867740,-3.534399
1.180000,-0.802827,0.802827,-0.000000,0.797099,-3.499050
1.190000,-0.872911,0.872911,-0.000000,0.722936,-3.460788
1.200000,-0.940116,0.940116,-0.000000,0.645509,-3.419857
1.210000,-1.002974,1.002974,-0.000000,0.565111,-3.376515
1.220000,-1.060021,1.060021,-0.000000,0.482066,-3.331034
1.230000,-1.109852,1.109852,-0.000000,0.396726,-3.283692
1.240000,-1.151175,1.151175,-0.000000,0.309475,-3.234781
1.250000,-1.182879,1.182879,-0.000000,0.220718,-3.184597
1.260000,-1.204078,1.204078,-0.000000,0.130883,-3.133445
1.270000,-1.214163,1.214163,-0.000000,0.040410,-3.081634
1.280000,-1.212831,1.212831,-0.000000,-0.050250,-3.029476
1.290000,-1.200106,1.200106,-0.000000,-0.140644,-2.977288
1.300000,-1.176329,1.176329,-0.000000,-0.230323,-2.925385
1.310000,-1.142149,1.142149,-0.000000,-0.318848,-2.874085
1.320000,-1.098480,1.098480,-0.000000,-0.405795,-2.823701
1.330000,-1.046462,1.046462,-0.000000,-0.490764,-2.774546
1.340000,-0.987399,0.987399,-0.000000,-0.573376,-2.726924
1.350000,-0.922704,0.922704,-0.000000,-0.653283,-2.681135
1.360000,-0.853840,0.853840,-0.000000,-0.730168,-2.637470
1.370000,-0.782268,0.782268,-0.000000,-0.803745,-2.596206
1.380000,-0.709399,0.709399,-0.000000,-0.873760,-2.557612
1.390000,-0.636556,0.636556,-0.000000,-0.939991,-2.521939
1.400000,-0.564950,0.564950,-0.000000,-1.002246,-2.489423
1.410000,-0.495663,0.495663,-0.000000,-1.060361,-2.460286
1.420000,-0.429637,0.429637,-0.000000,-1.114199,-2.434730
1.430000,-0.367676,0.367676,-0.000000,-1.163645,-2.412939
1.440000,-0.310450,0.310450,-0.000000,-1.208606,-2.395079
1.450000,-0.258506,0.258506,-0.000000,-1.249008,-2.381299
1.460000,-0.212282,0.212282,-0.000000,-1.284791,-2.371727
1.470000,-0.172118,0.172118,-0.000000,-1.315909,-2.366478
1.480000,-0.138274,0.138274,-0.000000,-1.342325,-2.365645
1.490000,-0.110942,0.110942,-0.000000,-1.364015,-2.369309
1.500000,-0.090262,0.090262,-0.000000,-1.380957,-2.377533
1.510000,-0.076330,0.076330,-0.000000,-1.393138,-2.390368
1.520000,-0.069207,0.069207,-0.000000,-1.400548,-2.407849
1.530000,-0.068929,0.068929,-0.000000,-1.403181,-2.430001
1.540000,-0.075508,0.075508,-0.000000,-1.401032,-2.456833
1.550000,-0.088934,0.088934,-0.000000,-1.394102,-2.488346
1.560000,-0.109175,0.109175,-0.000000,-1.382391,-2.524532
1.570000,-0.136171,0.136171,-0.000000,-1.365905,-2.565368
1.580000,-0.169828,0.169828,-0.000000,-1.344653,-2.610829
1.590000,-0.210012,0.210012,-0.000000,-1.318650,-2.660876
1.600000,-0.256532,0.256532,-0.000000,-1.287919,-2.715468
1.610000,-0.309130,0.309130,-0.000000,-1.252491,-2.774555
1.620000,-0.367466,0.367466,-0.000000,-1.212410,-2.838083
1.630000,-0.431103,0.431103,-0.000000,-1.167737,-2.905994
1.640000,-0.499490,0.499490,-0.000000,-1.118548,-2.978227
1.650000,-0.571951,0.571951,-0.000000,-1.064942,-3.054721
